title,price,availability,rating
A Light in the Attic,£51.77,In,Three
Tipping the Velvet,£53.74,In,One
Soumission,£50.10,In,One
Sharp Objects,£47.82,In,Four
Sapiens: A Brief History of Humankind,£54.23,In,Five
The Requiem Red,£22.65,In,One
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In,Four
The Black Maria,£52.15,In,One
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In,Two
Shakespeare's Sonnets,£20.66,In,Four
Set Me Free,£17.46,In,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In,Five
Rip it Up and Start Again,£35.02,In,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In,Three
Olio,£23.88,In,One
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In,One
Libertarianism for Beginners,£51.33,In,Two
It's Only the Himalayas,£45.17,In,Two
In Her Wake,£12.84,In,One
How Music Works,£37.32,In,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In,Three
Chase Me (Paris Nights #2),£25.27,In,Five
Black Dust,£34.53,In,Five
Birdsong: A Story in Pictures,£54.64,In,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In,Three
Aladdin and His Wonderful Lamp,£53.13,In,Three
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In,Five
Wall and Piece,£44.18,In,Four
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In,Three
The Elephant Tree,£23.82,In,Five
The Bear and the Piano,£36.89,In,One
Sophie's World,£15.94,In,Five
Penny Maybe,£33.29,In,Three
